CSIsym,Date,Open,High,Low,Close,Volume,Open Interest,Contract,Seasonality,TR1,TR2,TR3,TR,Multiplier,Contract Value,ATR20,USD ATR,Target volatility,Account Size,QTY,% Change,Daily P&L,Risk On,Risk Off,Prev 1,Anti Prev 1,Prev 5,Low Eq,High Eq,Anti HE,Anti 50,Sea,Anti Sea
BO,20171211,33.73,33.88,33.52,33.61,52625,163340,201803,3.29,0.36000,0.10928,0.25072,0.36000,600,20166,0.54234,325.4040642,500,5000,1,-0.004759072,-96.430362,1,-1,-1,1,-1,1,0,0,1,0,0
BO,20171212,33.57,33.9,33.36,33.6,50426,164361,201803,3.29,0.54000,0.29000,0.25000,0.54000,600,20160,0.54222,325.3314402,500,5000,1,-0.00029753,-6,-1,1,-1,1,1,0,1,-1,0,0,0
BO,20171213,33.55,33.64,33.15,33.4,62716,177362,201803,3.28,0.49000,0.04000,0.45000,0.49000,600,20040,0.54663,327.9776448,500,5000,1,-0.005952381,-120,-1,1,-1,1,-1,0,-1,1,0,0,0
BO,20171214,33.36,33.48,33.07,33.37,32154,179881,201803,3.22,0.41000,0.08000,0.33000,0.41000,600,20022,0.52946,317.6767782,500,5000,1,-0.000898204,-18,1,-1,-1,1,1,1,0,0,1,-1,1
BO,20171215,33.34,33.84,33.15,33.34,56202,183278,201803,3.23,0.69000,0.47000,0.22000,0.69000,600,20004,0.54136,324.816258,500,5000,1,-0.000899011,-18,1,-1,-1,1,-1,0,-1,1,0,-1,1
BO,20171218,33.33,33.56,33.15,33.18,38435,185798,201803,3.18,0.41000,0.22000,0.19000,0.41000,600,19908,0.53725,322.3503585,500,5000,1,-0.00479904,-96,-1,1,-1,1,-1,0,0,0,1,1,-1
BO,20171219,33.29,33.46,33.2,33.39,41711,190983,201803,3.23,0.26000,0.28000,0.02000,0.28000,600,20034,0.51408,308.4508368,500,5000,1,0.006329114,126,-1,1,1,-1,-1,1,1,-1,1,-1,1
BO,20171220,33.35,33.64,33.05,33.13,68334,201057,201803,3.23,0.59000,0.25000,0.34000,0.59000,600,19878,0.52098,312.5903169,500,5000,1,-0.007786763,-156,-1,1,-1,1,-1,-1,-1,1,1,0,0
BO,20171221,33.11,33.18,32.67,32.83,87975,206636,201803,3.22,0.51000,0.05000,0.46000,0.51000,600,19698,0.51936,311.6176929,500,5000,1,-0.009055237,-180,1,-1,-1,1,-1,-1,0,0,1,1,-1
BO,20171222,32.79,33.03,32.68,32.94,43639,208701,201803,3.25,0.35000,0.20000,0.15000,0.35000,600,19764,0.51728,310.3652424,500,5000,1,0.003350594,66,1,-1,1,-1,-1,1,1,-1,1,0,0
